07-31-2019 11:57:38.233,-,API,"D200K,0013A200417E381A,XBee PRO 900HP 200K,8075,COM11 - 9600/8/N/1/N,3"

07-30-2019 21:24:06.938,0,RECV,7E006D900013A200417E3816FFFE410000002C000040E012342B696C14396FF1F6C164B40FFFA0B14CAFB35C9B49CA0B06CA0B12C0B12CA12B06C7B56C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B81C100358B08C56B05C164B67C8807B00AA000000000000000000000000007B
07-30-2019 21:24:11.988,1,RECV,7E0059900013A200417E3816FFFE410000002D000040E012342B696C14396FF1F6C164B40FFFA0B14CAFB35C9B49CA0B06CA0B12C0B12CA12B06C7B56C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B81C100358B08C56B05C1699
07-30-2019 21:24:12.088,2,RECV,7E0058900013A200417E3816FFFE410000002E000147E012342B696C14396FF1F6C164B40FFFA0B14CA0B35C9B49CA0B06CA0B12C0B12CA12B06C7B56C9B25C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B81C100358B08C56B05CB5
07-30-2019 21:24:12.188,3,RECV,7E0071900013A200417E3816FFFE410000002F049148E012342B696C24282FF1F6C164B40FFFA0B15CA0B35C9B46C0B06C0B19C0B00CA12B38C8B38C10B06C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B83C100360B95C55B96C164B43C8828B00AA00000000000000000000000000000000000C3
07-30-2019 21:24:13.638,4,RECV,7E0071900013A200417E3816FFFE4100000030049148E012342B696C25733FF1F6C164B40FFFA0B18CA0B34C9B46C0B00C0B00C0B00CA12B06C9B88C10B06C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B83C100358B74C55B94C164B61C8817B00AA00000000000000000000000000000000000BE
07-30-2019 21:24:13.958,5,RECV,7E0071900013A200417E3816FFFE4100000031049147E012342B696C26022FF1F6C164B40FFFA0B18CA0B34C9B48C0B00C0B06C0B06CA12B75C8B38C9B69C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B83C100358B74C55B94C164B61C8822B50AA00000000000000000000000000000000000068
07-30-2019 21:24:18.988,6,RECV,7E0071900013A200417E3816FFFE4100000032000049E012342B696C27046FF1F6C164B40FFFA0B16CA0B35C9B48C0B12CA0B12C0B00CA12B06C9B06C8B88C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B83C100359B07C55B95C164B59C8834B00AA000000000000000000000000000000000009F
07-30-2019 21:24:24.058,7,RECV,7E0059900013A200417E3816FFFE4100000033000049E012342B696C27046FF1F6C164B40FFFA0B16CA0B35C9B48C0B12CA0B12C0B00CA12B06C9B06C8B88C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B83C100359B07C55B95C16405
07-30-2019 21:24:24.158,8,RECV,7E0059900013A200417E3816FFFE4100000034000148E012342B696C27046FF1F6C164B40FFFA0B16CA0B35C9B48C0B12CA0B12C0B00CA12B06C9B06C8B88C0B00CA1B00C1B88CA0B17CA0B33C9B79C22B83C100359B07C55B95C16404
